Kategorie,Titel,Eingangsbereich-rollstuhlgerecht,Personenaufzug-rollstuhlgerecht,Personenaufzug-vorhanden,Toilette-rollstuhlgerecht,Strasse,PLZ,Ort,Oeffnungszeiten,Longitude,Latitude,Parkplatz-vorhanden,Parkplatz-vor-Einrichtung-vorhanden,Anzahl-Behindertenparkplaetze-v-Einrichtung,Hauseigener-Parkplatz-vorhanden,Anzahl-Behindertenparkplaetze-auf-hauseigenem-Parkplatz,Ort-hauseigener-Parkplatz,Stufen-bis-Eingang-vorhanden,Anzahl-der-Stufen-bis-Eingang,Hoehe-einer-Stufe-bis-Eingang-cm,Eingang-Handlauf-durchgehend-links-vorhanden,Eingang-Handlauf-durchgehend-rechts-vorhanden,Eingang-Farbliche-Markierung-erste-u-letzte-Stufe-vorhanden,Alternativer-Eingang-fuer-Rollstuhlfahrer-vorhanden,Ort-alternativer-Eingang-fuer-Rollstuhlfahrer,Rampe-vor-Eingang-vorhanden,Laenge-der-Rampe-cm,Hoehe-der-Rampe-cm,Breite-der-Rampe-cm,Rampe-Handlauf-durchgehend-links-vorhanden,Rampe-Handlauf-durchgehend-rechts-vorhanden,Rampe-Farbliche-Markierung-an-Beginn-u-Ende-der-Rampe-vorhanden,Eingang-Klingel-vorhanden,Eingang-Ort-der-Klingel,Eingang-Klingel-mit-Wechselsprechanlage-vorhanden,Eingang-Hoehe-oberster-Bedienknopf-von-Klingel-cm,Kleinste-Tuerbreite-bis-Erreichen-der-Einrichtung-cm,Tuerart-am-Eingang-Automatische-Tuer,Tuerart-am-Eingang-Halbautomatische-Tuer,Tuerart-am-Eingang-Drehtuer,Tuerart-am-Eingang-Schiebetuer,Tuerart-am-Eingang-Drehfluegeltuer,Tuerart-am-Eingang-Pendeltuer,Tuerart-am-Eingang-andere-Tuerart,Aufzug-in-der-Einrichtung-vorhanden,Anzahl-der-Stufen-bis-Aufzug-in-der-Einrichtung,Aufzug-Tuerbreite-cm,Stufen-bis-Aufzug-in-der-Einrichtung-vorhanden,Aufzug-Breite-Innenkabine-cm,Aufzug-Tiefe-Innenkabine-cm,Aufzug-Hoehe-oberster-Bedienknopf-in-Innenkabine-cm,Aufzug-Hoehe-oberster-Bedienknopf-außerhalb-cm,Aufzug-Ort-Aufenthaltsort-Aufzugsberechtigter,Toilette-in-der-Einrichtung-vorhanden,Toilette-mit-Piktogramm-als-Behindertentoilette-gekennzeichnet,Stufen-bis-Toilette-in-Einrichtung-vorhanden,Anzahl-Stufen-bis-Toilette-in-Einrichtung,Hoehe-der-Stufen-bis-Toilette-in-Einrichtung-cm,Stufen-bis-Toilette:-Handlauf-durchgehend-links-vorhanden,Stufen-bis-Toilette:-Handlauf-durchgehend-rechts-vorhanden,Stufen-bis-Toilette-Farbliche-Markierung-erste-u-letzte-Stufe,Tuerbreite-der-Toilettenkabine-cm,ToilettenTuer-von-außen-entriegelbar,Notklingel-in-Toilettenkabine-vorhanden,Hoehe-Notklingel-in-Toilettenkabine,Bewegungsflaeche-vor-WC-Tiefe-cm,Bewegungsflaeche-vor-WC-Breite-cm,Bewegungsflaeche-links-vom-WC:-Tiefe-cm,Bewegungsflaeche-links-vom-WC:-Breite-cm,Bewegungsflaeche-rechts-vom-WC:-Tiefe-cm,Bewegungsflaeche-rechts-vom-WC:-Breite-cm,Aktivierung-Amatur-Waschbecken-Toilettenkabine-mit-Fotozelle,Aktivierung-Amatur-Waschbecken-Toilettenkabine-mit-Hebelarm,Besondere-Hilfestellungen-f-Menschen-m-Hoerbehinderung-vorhanden,Besondere-Hilfestellungen-f-Menschen-m-Seebhind-Blinde-vorhanden,Allgemeine-Hilfestellungen-vor-Ort-vorhanden,Beschreibung-Hilfestellungen-vor-Ort,,,,,,,
Bildung,Alter Johannisfriedhof,vollständig,nein,nein,nein,Prager Straße ,4103,Leipzig,"März: 
Di, Mi, Do, Fr  10.00 - 18.00 Uhr
Sa, So  10.00 - 17.00 Uhr

April - September:
Di, Do, Fr  10.00 - 18.00 Uhr
Mi  10.00 - 20.00 Uhr
Sa, So  10.00 - 17.00 Uhr

Oktober:
Di, Mi, Do, Fr  10.00 - 18.00 Uhr
Sa, So  10.00 - 7.00 Uhr

November - Februar:
Di, Mi, Do, Fr, Sa, So  10.00 - 16.00 Uhr",12.3953192,51.3321392,ja,ja,0,nein,0,,nein,0,0,nein,nein,nein,nein,,nein,0,0,0,nein,nein,nein,nein,,nein,0,90,nein,nein,nein,nein,ja,nein,nein,nein,0,0,nein,0,0,0,0,,nein,nein,ja,0,0,nein,nein,nein,0,nein,nein,0,0,0,0,0,0,0,nein,nein,nein,nein,nein,Bitte benutzen Sie den Eingang durch den Innenhof des Grassimuseums.,,,,,,,
Bildung,Botanischer Garten der Universität Leipzig,teilweise,nein,nein,nein,Linnéstr. 1,4103,Leipzig,"Freiland: Nov.-Febr.: täglich 9-16 Uhr, 
                 März, April, Okt.: täglich 9 - 18 Uhr,
                 Mai - Sept.: täglich 9 - 20 Uhr Gewächshaus: Okt.-April: Di - Fr  13-16 Uhr, 
             Sa, So und Feiertage 10 - 16 Uhr,
            Mai - Sept.: Di - Fr  13 - 18 Uhr,
            Sa, So und Feiertage 10 - 18 Uhr",12.39259,51.32999,ja,ja,0,nein,0,,nein,0,0,nein,nein,nein,nein,,nein,0,0,0,nein,nein,nein,nein,,nein,0,70,nein,nein,nein,nein,ja,nein,nein,nein,0,0,nein,0,0,0,0,,ja,nein,nein,0,0,nein,nein,nein,65,nein,nein,0,0,0,0,37,0,25,nein,nein,nein,nein,ja,"Hilfe für Behinderte durch das Aufsichtspersonal gegeben.
Ältester deutscher Universitätsgarten (1542) mit 9.000 Pflanzenarten der wichtigsten Klimazonen der Welt.
Eintritt Freiland frei,Gewächshäuser gegen Gebühr,  Führungen nach Vereinbarung.",,,,,,,
Bildung,Duft- und Tastgarten am Botanischen Garten,vollständig,nein,nein,nein,Friedenspark - Am Hospitaltor,4103,Leipzig,"Mai bis September 9 - 20 Uhr;
März, April, Oktober  9 - 18 Uhr;
November bis Februar geschlossen",12.3891818,51.3302732,nein,nein,0,nein,0,,nein,0,0,nein,nein,nein,nein,,nein,0,0,0,nein,nein,nein,nein,,nein,0,90,nein,nein,nein,nein,nein,nein,nein,nein,0,0,nein,0,0,0,0,,nein,nein,ja,0,0,nein,nein,nein,0,nein,nein,0,0,0,0,0,0,0,nein,nein,nein,ja,nein,"Hochbeete zum besseren Ertasten, Schilder mit Brailleschrift",,,,,,,
Bildung,Freizeitpark Lößnig,vollständig,nein,nein,nein,Am Silbersee,4279,Leipzig,,,,nein,nein,0,nein,0,,nein,0,0,nein,nein,nein,nein,,nein,0,0,0,nein,nein,nein,nein,,nein,0,300,nein,nein,nein,nein,nein,nein,nein,nein,0,0,nein,0,0,0,0,,nein,nein,ja,0,0,nein,nein,nein,0,nein,nein,0,0,0,0,0,0,0,nein,nein,nein,nein,nein,,,,,,,,
Bildung,Stadtgarten Connewitz,teilweise,nein,nein,nein,Kohrener Str. / Burgstädter Str. - Eingang Kohrener Str.,4277,Leipzig,"1. April bis 30. September:
Mo - Do  9.00 - 18.00 Uhr
Fr  9.00 - 12.00 Uhr
So  15.00 - 18.00 Uhr

Sa und an Feiertagen geschlossen
Im September schließt der garten Di bis Do und So bereits 17 Uhr.
Terminvereinbarungen außerhalb der Öffnungszeiten sind möglich",12.3850938,51.30352,ja,ja,0,nein,0,,ja,6,16,nein,nein,nein,ja,,ja,700,85,135,nein,nein,nein,nein,,nein,0,200,nein,nein,nein,nein,ja,nein,nein,nein,0,0,nein,0,0,0,0,,nein,nein,ja,0,0,nein,nein,nein,0,nein,nein,0,0,0,0,0,0,0,nein,nein,nein,nein,ja,"Hilfe durch Rufen anfordern.
Mittwochs jeweils ab 15 Uhr gibt es zu speziellen gärtnerischen Problemen besondere Beratungen (z.B. Kompostwirtschaft in Haus und Garten, Mulchen und Gründüngung).",,,,,,,
Bildung,Völkerschlachtdenkmal,vollständig,ja,nein,vollständig,Str. des 18. Oktober 100,4299,Leipzig,"April bis Oktober täglich    10 - 18 Uhr; 
November bis März täglich 10 - 16 Uhr",12.3943653,51.3222147,ja,ja,2,nein,0,,nein,100,20,nein,nein,nein,ja,Lift zur Krypta,,nein,0,0,0,nein,nein,nein,nein,,nein,0,95,nein,nein,nein,nein,ja,nein,nein,ja,0,119,nein,170,170,86,86,,ja,ja,nein,0,0,nein,nein,nein,106,ja,ja,0,170,190,70,103,70,127,nein,ja,nein,ja,ja,"barrierefreier Zugang zum Denkmal links vom Hauptzugang gegenüber der Parkgaststätte;  Dauerausstellung  im Museum ""Forum 1813"" für Rollstuhlfahrer zugängig (s.a. ""Forum 1813""); Lift (zur Krypta) und Beh.-WC, Tastmodell und Audioguide für Blinde",,,,,,
Bildung,Volkspark Kleinzschocher,vollständig,nein,nein,nein,Küchenholzwiese,4249,Leipzig,,12.2965373,51.2789889,nein,nein,0,nein,0,,nein,0,0,nein,nein,nein,nein,,nein,0,0,0,nein,nein,nein,nein,,nein,0,120,nein,nein,nein,nein,nein,nein,nein,nein,0,0,nein,0,0,0,0,,nein,nein,ja,0,0,nein,nein,nein,0,nein,nein,0,0,0,0,0,0,0,nein,nein,nein,nein,nein,,,,,,,,
Bildung,Wildpark der Stadt Leipzig,vollständig,nein,nein,vollständig,Koburger Straße 12a,4277,Leipzig,"innerer Gehegebereich:
16. März bis 31. Oktober: 9 - 19 Uhr
01. November bis 15. März: 9 - 17 Uhr",12.372148,51.2978292,ja,ja,2,nein,0,,nein,0,0,nein,nein,nein,ja,,ja,350,10,200,nein,nein,nein,nein,,nein,0,100,nein,nein,nein,nein,ja,nein,nein,nein,0,0,nein,0,0,0,0,,ja,ja,nein,0,0,nein,nein,nein,95,ja,ja,0,200,270,70,170,70,110,nein,ja,nein,ja,ja,Behindertentoilette  mit Euroschlüssel am Wirtschaftshof neben der Wildparkausstellung, barrierefreier Erlebnispfad durch das Wildgehege - Rollstuhlfahrer bitte anmelden (0152 22 98 92 01oder langfristig 30 94 10),,,,,,
Bildung,Zoologischer Garten Leipzig (GmbH),vollständig,ja,nein,vollständig,Pfaffendorfer Str. 29,4105,Leipzig,"Januar bis März:      9.00 -17.00 Uhr, 
April:                           9.00 -18.00 Uhr (am Wochenende und feiertags bis 19 Uhr), 
Mai bis September: 9.00 -19.00 Uhr, 
Oktober:                     9.00 -18.00 Uhr, 
Nov. und Dez.:           9.00 -17.00 Uhr, 
Tierhäuser schließen 30 Minuten eher",12.3689185,51.3516682,ja,ja,4,nein,0,,nein,0,0,nein,nein,nein,nein,,nein,0,0,0,nein,nein,nein,nein,,nein,0,250,nein,nein,nein,nein,ja,nein,nein,nein,0,0,nein,0,0,0,0,,ja,ja,nein,0,0,nein,nein,nein,97,ja,nein,0,150,150,80,100,80,100,nein,ja,nein,ja,ja,"10 gegen Kaution ausleihbare Rollstühle (b. anmelden), Lift für Behinderte im Aquarium; 
WC-Angaben vom Pongoland. Weitere Behinderten-WC am Eingang, an alter Bärenanlage, in Hacienda Las Casas, an Afrika-Savanne, Blindengerechte Führungen, Godwanaland",,,,,,,
Bildung,Europa - Haus Leipzig e.V.,teilweise,nein,ja,nein,Markt 10 / Handwerkerpassage,4109,Leipzig,,12.3736659,51.3406761,nein,nein,1,nein,0,,nein,27,19,ja,nein,nein,ja,mit dem Aufzug,nein,0,0,0,nein,nein,nein,nein,,nein,0,80,nein,nein,nein,nein,ja,nein,nein,ja,0,89,nein,110,130,100,115,,ja,nein,nein,,,nein,nein,nein,57,nein,nein,0,95,80,60,27,60,23,nein,ja,nein,nein,ja,,,,,,,,
